District,Date,Temperature (°C),Rainfall (mm),Growth Rate (%),Location Quality
Peshawar,2023-12-29,21.3,14.7,1.78,Good
Peshawar,2023-12-30,29.2,4.2,2.88,Average
Peshawar,2023-12-31,30.1,17.8,3.14,Average
Quetta,2023-12-01,24.7,12.7,1.59,Average
Quetta,2023-12-02,19.7,18.5,2.73,Poor
Quetta,2023-12-03,20.0,18.0,3.89,Good
Quetta,2023-12-04,25.6,12.2,4.51,Good
Quetta,2023-12-05,25.0,2.9,4.42,Good
Quetta,2023-12-06,34.3,12.9,1.22,Poor
Quetta,2023-12-07,27.1,19.8,3.47,Good
Quetta,2023-12-08,24.3,14.5,1.54,Poor
Quetta,2023-12-09,20.5,18.6,1.47,Good
Quetta,2023-12-10,24.5,12.2,2.15,Poor
Quetta,2023-12-11,23.4,17.6,1.99,Poor
Quetta,2023-12-12,22.2,18.0,1.98,Poor
Quetta,2023-12-13,17.8,11.3,2.93,Good
Quetta,2023-12-14,19.3,15.1,2.96,Poor
Quetta,2023-12-15,31.3,0.9,3.42,Average
Quetta,2023-12-16,16.9,8.5,1.83,Poor
Quetta,2023-12-17,23.9,3.8,2.81,Average
Quetta,2023-12-18,34.4,11.9,3.26,Average
Quetta,2023-12-19,17.5,19.4,3.75,Poor
Quetta,2023-12-20,28.2,13.5,4.01,Good
Quetta,2023-12-21,34.0,19.0,3.3,Average
Quetta,2023-12-22,31.8,19.8,2.34,Poor
Quetta,2023-12-23,22.5,3.2,2.76,Average
Quetta,2023-12-24,18.4,16.2,1.93,Good
Quetta,2023-12-25,18.0,11.7,3.1,Average
Quetta,2023-12-26,19.7,7.2,4.98,Poor
Quetta,2023-12-27,16.7,10.8,3.01,Average
Quetta,2023-12-28,18.2,8.8,3.1,Poor
Quetta,2023-12-29,24.3,13.3,1.68,Average
Quetta,2023-12-30,16.7,15.5,4.57,Average
Quetta,2023-12-31,18.7,10.5,2.01,Good
