District,Date,Temperature (°C),Rainfall (mm),Growth Rate (%),Location Quality,Province,Latitude,Longitude,Average_Temperature_C,Total_Rainfall_mm,Economic_Growth_Rate_%,Agricultural_Growth_Rate_%,Voice_Datum
Lahore,12/16/2023,18.9,0.3,3.73,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/17/2023,25,11.8,1.23,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/18/2023,20.4,5.5,3.58,Good,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/19/2023,34.8,8.1,3.86,Good,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/20/2023,23.5,14.2,3.45,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/21/2023,34.3,6.4,3.11,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/22/2023,17.5,11.5,4.95,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/23/2023,26.7,16.7,3.29,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/24/2023,29.4,17.1,3.61,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/25/2023,23.6,10.6,3.74,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/26/2023,27.4,9.7,4.4,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/27/2023,29.5,4.3,2.21,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/28/2023,32.8,5.6,4.71,Good,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/29/2023,15.4,15.4,1.56,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/30/2023,31.2,13.5,4.87,Poor,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Lahore,12/31/2023,22.9,1.3,4.64,Average,Punjab,31.5497,74.3436,24.5,715,5.2,2.8,Description1
Islamabad,12/1/2023,29.6,4.5,2.94,Average,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/2/2023,20.7,9.8,2.72,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/3/2023,28.8,14.1,1.91,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/4/2023,31.2,5,2.29,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/5/2023,29.8,17.1,3.51,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/6/2023,32.2,2.5,1.72,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/7/2023,17.6,7.7,1.9,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/8/2023,31.4,8,2,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/9/2023,33.9,18.2,2.47,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/10/2023,25.8,3.4,2.28,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/11/2023,20,1.1,1.89,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/12/2023,27.6,9,2.96,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/13/2023,31,1,4.79,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/14/2023,25.7,12.9,2.39,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/15/2023,15.6,14.9,2.11,Average,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/16/2023,27.8,18.3,4.89,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/17/2023,31.5,15.7,1.08,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/18/2023,27.1,8.5,2.35,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/19/2023,18.7,1.3,3.34,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/20/2023,18.6,6.5,1.23,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/21/2023,22.7,7.1,4,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/22/2023,30.2,12.1,3.95,Average,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/23/2023,29.6,14.6,4.87,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/24/2023,24.3,6.4,1.73,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/25/2023,30.2,12.4,2.86,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/26/2023,18.5,3.9,2.25,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/27/2023,19.5,3.3,1.56,Average,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/28/2023,33.8,1.2,2.62,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/29/2023,31.4,16,4.49,Average,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/30/2023,16.2,2.2,2.91,Good,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Islamabad,12/31/2023,20.8,2.5,1.7,Poor,Islamabad Capital Territory,33.6844,73.0479,23,940,5.8,,Description5
Peshawar,12/1/2023,22.4,19.3,3.89,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/2/2023,25.6,11,2.68,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/3/2023,31,11.1,3.09,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/4/2023,22,17.5,1.32,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/5/2023,19.1,6.7,4.09,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/6/2023,34.6,13.6,1.4,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/7/2023,24.9,3.7,1.26,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/8/2023,16.9,18.3,2.09,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/9/2023,18,11.5,3.15,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/10/2023,18.7,11,4.67,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/11/2023,16.2,16.1,1.55,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/12/2023,19.8,2.2,3.72,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/13/2023,18.7,18.2,4.11,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/14/2023,27.3,11,1.13,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/15/2023,24.6,18.5,1.74,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/16/2023,24.8,1.5,4.78,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/17/2023,24.5,9,1.49,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/18/2023,32.6,14.9,2.1,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/19/2023,27.7,16.1,3.34,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/20/2023,17.7,11.8,2.08,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/21/2023,24.3,10.9,1.52,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/22/2023,20.1,16.5,2.92,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/23/2023,34.7,8.1,2.09,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/24/2023,33.9,8.5,4.07,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/25/2023,28.5,0.1,3.05,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/26/2023,27.1,16.3,4.22,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/27/2023,29.4,5.6,4.94,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/28/2023,34.2,16.6,1.02,Poor,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/29/2023,21.3,14.7,1.78,Good,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/30/2023,29.2,4.2,2.88,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Peshawar,12/31/2023,30.1,17.8,3.14,Average,Khyber Pakhtunkhwa,34.015,71.5249,22.7,450,4.1,3.2,Description3
Quetta,12/1/2023,24.7,12.7,1.59,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/2/2023,19.7,18.5,2.73,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/3/2023,20,18,3.89,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/4/2023,25.6,12.2,4.51,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/5/2023,25,2.9,4.42,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/6/2023,34.3,12.9,1.22,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/7/2023,27.1,19.8,3.47,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/8/2023,24.3,14.5,1.54,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/9/2023,20.5,18.6,1.47,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/10/2023,24.5,12.2,2.15,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/11/2023,23.4,17.6,1.99,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/12/2023,22.2,18,1.98,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/13/2023,17.8,11.3,2.93,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/14/2023,19.3,15.1,2.96,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/15/2023,31.3,0.9,3.42,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/16/2023,16.9,8.5,1.83,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/17/2023,23.9,3.8,2.81,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/18/2023,34.4,11.9,3.26,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/19/2023,17.5,19.4,3.75,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/20/2023,28.2,13.5,4.01,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/21/2023,34,19,3.3,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/22/2023,31.8,19.8,2.34,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/23/2023,22.5,3.2,2.76,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/24/2023,18.4,16.2,1.93,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/25/2023,18,11.7,3.1,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/26/2023,19.7,7.2,4.98,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/27/2023,16.7,10.8,3.01,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/28/2023,18.2,8.8,3.1,Poor,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/29/2023,24.3,13.3,1.68,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/30/2023,16.7,15.5,4.57,Average,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
Quetta,12/31/2023,18.7,10.5,2.01,Good,Balochistan,30.1798,66.975,19.2,350,3.5,2,Description4
